name,ring,quadrant,isNew,description
C#,adopt,Languages and Frameworks,TRUE,"Cool stuff"
TypeScript,adopt,Languages and Frameworks,TRUE,"Cool stuff"
Bash,adopt,Languages and Frameworks,TRUE,"Cool stuff"
PowerShell,hold,Languages and Frameworks,TRUE,Don't use PowerShell for new projects - prefer Bash.
.NET 5,adopt,Languages and Frameworks,TRUE,"Cool stuff"
.NET Core,hold,Languages and Frameworks,TRUE,Don't use .NET Core - we've moved on to .NET 5.
ASP.NET Core,adopt,Languages and Frameworks,TRUE,"Cool stuff"
React,adopt,Languages and Frameworks,TRUE,"Cool stuff"
Electron,adopt,Platforms,TRUE,Electron has proved itself for developing web-based desktop products. It's our default choice for new desktop-based applications.
WinForms,hold,Languages and Frameworks,TRUE,Don't use WinForms for new projects - prefer Electron.
WPF,hold,Languages and Frameworks,TRUE,Don't use WPF for new projects - prefer Electron.
Blazor.Net,assess,Languages and Frameworks,TRUE,"Cool stuff"
Visual Studio,adopt,Tools,TRUE,Visual Studio is our default IDE for developing in C#. We get the Enterprise edition via our MSDN subscription.
Rider,adopt,Tools,TRUE,Many teams use Rider instead of Visual Studio for their development. We have licences for it.
VS Code,adopt,Tools,TRUE,A free lightweight IDE. Our text editor of choice.
GitHub,adopt,Tools,TRUE,All development should use GitHub.
TeamCity,adopt,Tools,TRUE,TeamCity is our default build system.
Azure DevOps,trial,Tools,TRUE,We believe Azure DevOps might be a fine alternative to TeamCity.
GitHub Actions,assess,Tools,TRUE,We're keeping an eye on GitHub actions as part of simplifying our build process.
Redgate.Build,hold,Tools,TRUE,Redgate.Build is our own PowerShell based build scripts. Over time it's become complicated and we wouldn't recommend it for new projects.
Terraform,adopt,Tools,TRUE,Used for automating infrastucture provisioning.
Application Insights,adopt,Tools,TRUE,All applications should use Application Insights as the default developer telemetry platform (incl. feature usage and error reporting).
Raygun,hold,Tools,TRUE,Deprecated in favour of Application Insights
Flyway,adopt,Tools,TRUE,Our default tool for migrating database schemas.
WSL 2,adopt,Tools,TRUE,Windows Subsystem for Linux should be installed on every development machine
SignalR,adopt,Tools,TRUE,Cool stuff
Hashicorp Vault,adopt,Tools,TRUE,We recommend "Cool stuff".
Keepass files in GitHub,hold,Tools,TRUE,Use a password manager (or Vault) instead.
Docker,adopt,Tools,TRUE,"Docker should be used as the default containerisation technology. Used for building, testing and deployment."
gRPC,trial,Tools,TRUE,"Cool stuff"
WhiteSource (vulnerability scanning),trial,Tools,TRUE,We currently use WhiteSource for vulnerability scanning. This is currently under review.
DocFx,trial,Tools,TRUE,"Cool stuff"
Makefiles,assess,Tools,TRUE,"Should we fall back to using Makefiles as part of a simpler build process? Again, this is part of our desire to simplify our build process."
Cake,assess,Tools,TRUE,"Cool stuff".
Bazel,assess,Tools,TRUE,"Cool stuff".
Earthly,assess,Tools,TRUE,"Cool stuff"
Feature Flagging vendors (Launch Darkly?),assess,Tools,TRUE,If your usage of feature flagging becomes sufficiently complicated then it's time to investigate third-party vendors.
Virtualbox based Vagrant boxes,hold,Tools,TRUE,Use Docker instead where possible. UI and manual testing may still use Virtualbox.
Redgate Platform,adopt,Platforms,TRUE,All new applications should be built on the Redgate Platform.
Kubernetes,adopt,Platforms,TRUE,"Cool stuff"
SQL Server as backing store,adopt,Platforms,TRUE,"When a product needs to store more complex data than it can fit in a flat file, we ask the customer for a SQL DB."
PostgreSQL as backing store,trial,Platforms,TRUE,"If there's a very good reason to use a lightweight/free database engine, we should choose Postgres."
Windows,adopt,Platforms,TRUE,Windows must be one of our supported target platforms.
Linux x64 (.NET supported versions),adopt,Platforms,TRUE,Linux must be one of our supported target platforms.
macOS,adopt,Platforms,TRUE,MacOS must be one of our supported target platforms.
Virtual Machines,hold,Platforms,TRUE,Prefer using lightweight Docker containers.
CLIs,adopt,Techniques,TRUE,"Product should, where possible, expose funtionality via a CLI."
RESTful APIs,adopt,Techniques,TRUE,A REST architetural style is our default choice for building web APIs. Deviations can be made when it makes sense to do so.
Containerised products,assess,Techniques,TRUE,"Where possible, all new products should be built to be containerised. We should ship the Mac/Linux versions of our products inside Docker containers."
Infrastructure as code,adopt,Techniques,TRUE,Infrastructure should be provisioned through code rather than manually (except for ad-hoc testing)
Automated code style settings,adopt,Techniques,TRUE,Codebases should be formatted consistently. Automated code-style settings achieve this without fuss.
Static code analysis (linters),adopt,Techniques,TRUE,Static code analysis is invaluable for automatically checking for problems in code. We use ESLint for JS and Roslyn-based analyzers for .NET. We also experimented with SonarQube but our implementation wasn't giving us confidence.
Semantic Versioning,adopt,Techniques,TRUE,We should use semver for all our versioning needs unless there's a compelling reason not to.
Database Agnosticism,adopt,Techniques,TRUE,We aim for feature parity between products that support different database engines.
Feature Flags,adopt,Techniques,TRUE,"Feature Flags are a great technique for minimizing long-lived feature branches. Our recommendation is to focus on simplicity - if you find yourself writing substantial code to support Feature Flags, consider using a third-party solution."
Continuous delivery,adopt,Techniques,TRUE,Products should be ready for release at any time.
Continuous Deployment,assess,Techniques,TRUE,"We'd like to evaluate technology that increases our deployment frequency, with a view to getting value into the hands of our users as quickly as possible."
Build inside Docker containers,trial,Techniques,TRUE,We should reduce build dependencies by building and testing our products inside containers.
AI/ML,assess,Techniques,TRUE,"AI/ML are becoming commoditized. Off-the-shelf software is available for predictive modelling, text analysis, anomaly detection and much more."
Automation/Low-code solutions,assess,Techniques,TRUE,"Remote is driving a digital transformation across industries. Low-code solutions, such as Power Apps, allow organizations to modernize these processes."
